"data_i","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17165,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,4,-44,-61,-27,10,39.96,31.2
18417,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-27,3,-44,-60,-27,11,41.12,33.04
18501,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-28,2,-45,-60,-27,11,41.49,32.05
18702,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,4,-49,-62,-26,13,46.9,34.99
17984,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-31,3,-53,-62,-10,10,47.66,35.97
16536,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-30,4,-47,-63,-15,9,44.97,34.11
15972,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,-25,6,-43,-58,-24,10,41.92,32.76
14666,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-23,10,-44,-57,-25,10,42.64,32.77
9225,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-17,11,-42,-54,-24,9,44.95,34.32
20533,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,11,-42,-54,-24,9,48.28,36.05
14653,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-18,11,-44,-56,-23,10,58.62,42.2
15942,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-19,7,-47,-55,-7,7,60.33,44.08
15452,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,-16,12,-39,-57,-12,6,53.3,40.21
